,Time,class,Count,From,To
451,5:00am - 6:00am,motorcycles_scooters,60,South,North
452,5:00am - 6:00am,taxi,35,South,North
453,5:00am - 6:00am,buses,2,South,North
454,5:00am - 6:00am,smallTrucks,3,South,North
455,5:00am - 6:00am,largeTrucks,1,South,North
456,5:00am - 6:00am,bicycle_tricycle,,South,North
457,5:00am - 6:00am,jeepney,16,South,North
458,5:00am - 6:00am,motorela,41,South,North
459,5:00am - 6:00am,others,,South,North
460,6:00am - 7:00am,cars_SUV,79,South,North
461,6:00am - 7:00am,motorcycles_scooters,111,South,North
462,6:00am - 7:00am,taxi,11,South,North
463,6:00am - 7:00am,buses,3,South,North
464,6:00am - 7:00am,smallTrucks,5,South,North
465,6:00am - 7:00am,largeTrucks,,South,North
466,6:00am - 7:00am,bicycle_tricycle,,South,North
467,6:00am - 7:00am,jeepney,23,South,North
468,6:00am - 7:00am,motorela,81,South,North
469,6:00am - 7:00am,others,4,South,North
470,7:00am - 8:00am,cars_SUV,185,South,North
471,7:00am - 8:00am,motorcycles_scooters,133,South,North
472,7:00am - 8:00am,taxi,48,South,North
473,7:00am - 8:00am,buses,2,South,North
474,7:00am - 8:00am,smallTrucks,3,South,North
475,7:00am - 8:00am,largeTrucks,,South,North
476,7:00am - 8:00am,bicycle_tricycle,,South,North
477,7:00am - 8:00am,jeepney,39,South,North
478,7:00am - 8:00am,motorela,117,South,North
479,7:00am - 8:00am,others,3,South,North
480,8:00am - 9:00am,cars_SUV,254,South,North
481,8:00am - 9:00am,motorcycles_scooters,162,South,North
482,8:00am - 9:00am,taxi,79,South,North
483,8:00am - 9:00am,buses,1,South,North
484,8:00am - 9:00am,smallTrucks,10,South,North
485,8:00am - 9:00am,largeTrucks,,South,North
486,8:00am - 9:00am,bicycle_tricycle,,South,North
487,8:00am - 9:00am,jeepney,41,South,North
488,8:00am - 9:00am,motorela,183,South,North
489,8:00am - 9:00am,others,3,South,North
490,9:00am - 10:00am,cars_SUV,275,South,North
491,9:00am - 10:00am,motorcycles_scooters,130,South,North
492,9:00am - 10:00am,taxi,89,South,North
493,9:00am - 10:00am,buses,,South,North
494,9:00am - 10:00am,smallTrucks,12,South,North
495,9:00am - 10:00am,largeTrucks,1,South,North
496,9:00am - 10:00am,bicycle_tricycle,,South,North
497,9:00am - 10:00am,jeepney,32,South,North
498,9:00am - 10:00am,motorela,154,South,North
499,9:00am - 10:00am,others,4,South,North
500,10:00am - 11:00am,cars_SUV,258,South,North
501,10:00am - 11:00am,motorcycles_scooters,116,South,North
502,10:00am - 11:00am,taxi,82,South,North
503,10:00am - 11:00am,buses,,South,North
504,10:00am - 11:00am,smallTrucks,10,South,North
505,10:00am - 11:00am,largeTrucks,2,South,North
506,10:00am - 11:00am,bicycle_tricycle,,South,North
507,10:00am - 11:00am,jeepney,25,South,North
508,10:00am - 11:00am,motorela,150,South,North
509,10:00am - 11:00am,others,3,South,North
510,11:00am - 12:00nn,cars_SUV,274,South,North
511,11:00am - 12:00nn,motorcycles_scooters,103,South,North
512,11:00am - 12:00nn,taxi,100,South,North
513,11:00am - 12:00nn,buses,,South,North
514,11:00am - 12:00nn,smallTrucks,14,South,North
515,11:00am - 12:00nn,largeTrucks,1,South,North
516,11:00am - 12:00nn,bicycle_tricycle,,South,North
517,11:00am - 12:00nn,jeepney,38,South,North
518,11:00am - 12:00nn,motorela,167,South,North
519,11:00am - 12:00nn,others,4,South,North
520,12:00nn - 1:00pm,cars_SUV,278,South,North
521,12:00nn - 1:00pm,motorcycles_scooters,101,South,North
522,12:00nn - 1:00pm,taxi,104,South,North
523,12:00nn - 1:00pm,buses,3,South,North
524,12:00nn - 1:00pm,smallTrucks,,South,North
525,12:00nn - 1:00pm,largeTrucks,,South,North
526,12:00nn - 1:00pm,bicycle_tricycle,,South,North
527,12:00nn - 1:00pm,jeepney,26,South,North
528,12:00nn - 1:00pm,motorela,151,South,North
529,12:00nn - 1:00pm,others,2,South,North
530,1:00pm - 2:00pm,cars_SUV,306,South,North
531,1:00pm - 2:00pm,motorcycles_scooters,111,South,North
532,1:00pm - 2:00pm,taxi,102,South,North
533,1:00pm - 2:00pm,buses,,South,North
534,1:00pm - 2:00pm,smallTrucks,9,South,North
535,1:00pm - 2:00pm,largeTrucks,,South,North
536,1:00pm - 2:00pm,bicycle_tricycle,,South,North
537,1:00pm - 2:00pm,jeepney,19,South,North
538,1:00pm - 2:00pm,motorela,147,South,North
539,1:00pm - 2:00pm,others,4,South,North
540,2:00pm - 3:00pm,cars_SUV,293,South,North
541,2:00pm - 3:00pm,motorcycles_scooters,117,South,North
542,2:00pm - 3:00pm,taxi,99,South,North
543,2:00pm - 3:00pm,buses,,South,North
